NOM_MUN,POBTOT
Acambay de Ruíz Castañeda,12890
Acolman,55725
Aculco,8028
Almoloya de Alquisiras,2739
Almoloya de Juárez,36562
Almoloya del Río,4009
Amanalco,3743
Amatepec,4209
Amecameca,17254
Apaxco,9158
Atenco,21510
Atizapán,3374
Atizapán de Zaragoza,228085
Atlacomulco,31962
Atlautla,7362
Axapusco,6837
Ayapango,3078
Calimaya,24690
Capulhuac,11701
Chalco,121301
Chapa de Mota,5233
Chapultepec,4744
Chiautla,10047
Chicoloapan,71365
Chiconcuac,9370
Chimalhuacán,181004
Coacalco de Berriozábal,148071
Coatepec Harinas,4730
Cocotitlán,5190
Coyotepec,11705
Cuautitlán,83294
Cuautitlán Izcalli,262340
Donato Guerra,4491
Ecatepec de Morelos,614333
Ecatzingo,2463
El Oro,7457
Huehuetoca,50784
Hueypoxtla,9158
Huixquilucan,121010
Isidro Fabela,2952
Ixtapaluca,193356
Ixtapan de la Sal,8373
Ixtapan del Oro,627
Ixtlahuaca,34947
Jaltenco,10158
Jilotepec,21196
Jilotzingo,5161
Jiquipilco,13418
Jocotitlán,19373
Joquicingo,3035
Juchitepec,6493
La Paz,89972
Lerma,58290
Luvianos,4229
Malinalco,4876
Melchor Ocampo,19722
Metepec,123347
Mexicaltzingo,4475
Morelos,4891
Naucalpan de Juárez,335896
Nextlalpan,17617
Nezahualcóyotl,432550
Nicolás Romero,134825
Nopaltepec,2774
Ocoyoacac,25528
Ocuilan,6101
Otumba,9313
Otzoloapan,686
Otzolotepec,20586
Ozumba,8621
Papalotla,1940
Polotitlán,3302
Rayón,5057
San Antonio la Isla,12697
San Felipe del Progreso,20227
San José del Rincón,6828
San Martín de las Pirámides,9148
San Mateo Atenco,32392
San Simón de Guerrero,1402
Santo Tomás,1531
Soyaniquilpan de Juárez,3306
Sultepec,3243
Tecámac,233351
Tejupilco,17121
Temamatla,4226
Temascalapa,10486
Temascalcingo,12229
Temascaltepec,4945
Temoaya,19394
Tenancingo,25608
Tenango del Aire,3506
Tenango del Valle,21707
Teoloyucan,19623
Teotihuacán,19285
Tepetlaoxtoc,9422
Tepetlixpa,5050
Tepotzotlán,33351
Tequixquiac,10666
Texcaltitlán,3237
Texcalyacac,1763
Texcoco,104246
Tezoyuca,13093
Tianguistenco,23440
Timilpan,3681
Tlalmanalco,17997
Tlalnepantla de Baz,297436
Tlatlaya,5365
Toluca,355672
Tonanitla,5391
Tonatico,3045
Tultepec,62970
Tultitlán,198432
Valle de Bravo,15578
Valle de Chalco Solidaridad,101453
Villa de Allende,5458
Villa del Carbón,8687
Villa Guerrero,8607
Villa Victoria,9977
Xalatlaco,6855
Xonacatlán,15709
Zacazonapan,871
Zacualpan,1833
Zinacantepec,62487
Zumpahuacán,2309
Zumpango,83240
Acatlán,3215
Acaxochitlán,4339
Actopan,18865
Agua Blanca de Iturbide,1660
Ajacuba,4078
Alfajayucan,3430
Almoloya,2389
Apan,13102
Atitalaquia,10443
Atlapexco,3789
Atotonilco de Tula,18679
Atotonilco el Grande,5725
Calnali,2581
Cardonal,4198
Chapantongo,2177
Chapulhuacán,3408
Chilcuautla,4214
Cuautepec de Hinojosa,10625
El Arenal,4382
Eloxochitlán,339
Emiliano Zapata,4224
Epazoyucan,4104
Francisco I. Madero,12408
Huasca de Ocampo,2795
Huautla,3809
Huazalingo,1705
Huehuetla,3343
